time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.39221924839e-07,-9.14974010643e-08,10.0061800009,6.28290171463,0.000131620665112,0.0,-1.27708468418e-05,-1.70927595885e-05,0.205984725123,-0.0164295662156,0.00625528423863,0.0,468.8849256978301,469.37050477418614,470.1598608355019,468.8855234559897
0.12000000000000001,-5.08036066417e-06,-1.06949226252e-05,10.0212399356,6.28173289271,0.000600037508679,0.0,-0.000194509237992,-0.000443813016388,0.295993338797,-0.0264117644366,0.0107425421445,0.0,433.1543051070251,433.531327058601,434.6267849947235,433.7895135033052
0.18,-3.59340593965e-05,-8.0562970243e-05,10.0460593211,6.2800262428,0.00207112587886,0.0,-0.000973732050424,-0.00208539512446,0.531238905563,-0.0328541612809,0.0432572316565,0.0,476.93071731574764,479.4073174759002,478.1032291308861,477.61204270507983
0.23999999999999996,-0.00015758016777,-0.000290799906848,10.0844831363,6.27822819337,0.00553004017479,0.0,-0.0034539224032,-0.00514665852642,0.749435116948,-0.0247432989164,0.0769579952494,0.0,472.63960909159505,475.23133153958184,472.24178536835194,472.8666773572922
0.3,-0.000527901139695,-0.000733102724985,10.1373386544,6.27628739225,0.0101102385285,0.0,-0.00946882487315,-0.00980183845814,1.01221494074,-0.0553612871467,0.0750647938999,0.0,486.72747741865646,486.5898388349479,487.3361901635674,485.04203615942123
0.36000000000000004,-0.00136136962161,-0.00150345302391,10.20466044,6.2728611278,0.0145729722496,0.0,-0.0188477471804,-0.0162783470227,1.2316245799,-0.0608392031618,0.0729713688564,0.0,474.65937091329886,474.50264852343366,474.29864426425144,473.8757692284447
0.4200000000000001,-0.00287215857377,-0.00275172753169,10.2855802825,6.26890859394,0.0191303653162,0.0,-0.0320526364349,-0.0257875360899,1.46541918752,-0.0785590038205,0.0813400651226,0.0,478.42676130366436,479.0675233789812,479.9390822505044,478.58943100874984
0.48000000000000015,-0.00524696833693,-0.00464025449557,10.3783869877,6.26438820586,0.0236352582415,0.0,-0.0476304354811,-0.037672731431,1.62790073479,-0.0695771466295,0.0580549196698,0.0,458.6102296198397,456.76124208900256,458.89082449851657,459.59889184782855
0.5400000000000001,-0.00858312957716,-0.00728602929597,10.4780971592,6.25979233654,0.0267641672421,0.0,-0.0638978489757,-0.0509380047492,1.69565579392,-0.0968069062121,0.0364516686296,0.0,431.09326498628616,429.26586246382254,429.56529452628496,427.2448960580151
0.6000000000000002,-0.0128980694899,-0.0107755496627,10.579877498,6.25377290047,0.028737757232,0.0,-0.0801164007155,-0.0658950286797,1.69700064409,-0.108488920715,0.0246090297029,0.0,407.48424762725085,406.424793248261,408.5092774509432,407.45655010855046
0.6600000000000003,-0.0183886515891,-0.015447586876,10.6875155863,6.24774628502,0.0313342033438,0.0,-0.103147103386,-0.0905520728195,1.89060320497,-0.0878974582496,0.0661895616258,0.0,466.80347489327517,470.03750998999726,468.0323858973539,469.62377691306017
0.7200000000000003,-0.025329816259,-0.0217327403057,10.8066843944,6.24201873923,0.036158468724,0.0,-0.128733183689,-0.119566391557,2.08131884431,-0.118237759814,0.099547827776,0.0,466.13309525772553,468.7370108212318,470.68871240199957,468.32716811653864
0.7800000000000004,-0.0338267821055,-0.0297870015014,10.934613381,6.23487199854,0.0422804047319,0.0,-0.155111011875,-0.149627486414,2.18273174886,-0.120919720861,0.106584671385,0.0,442.05362693676835,442.64213079325776,441.6464361881649,441.4123059444413
0.8400000000000004,-0.0439738426984,-0.0397233602013,11.067209142,6.2272105881,0.0489293055635,0.0,-0.183742625899,-0.182282580935,2.23695157142,-0.146789946052,0.118153483292,0.0,426.60562219616435,427.60360558543044,428.69855486810786,426.4785727148733
0.9000000000000005,-0.0560768281859,-0.0518946979588,11.2051752831,6.21865234445,0.05565059727,0.0,-0.22041270422,-0.224327770869,2.36156812729,-0.135418782822,0.0954913297028,0.0,451.6248735460438,449.80406627602395,449.1519997804336,450.0544289291101
0.9600000000000005,-0.0704622822331,-0.0667030846036,11.3496009636,6.21022593423,0.0616356231566,0.0,-0.25968333485,-0.270099954072,2.45232695479,-0.153063737111,0.107133056201,0.0,440.47429598161756,441.4445661373063,440.3486095951727,438.86770667103116
1.0200000000000005,-0.0872811719556,-0.0843767169973,11.4986983398,6.20096209685,0.0677422970059,0.0,-0.301548691608,-0.319899872217,2.51731984132,-0.157203668538,0.0880399837506,0.0,433.25386264857326,431.6547470352843,433.10832897742307,432.7367628508132
1.0800000000000005,-0.106909694815,-0.105441701504,11.6543015703,6.19133394998,0.0729655925058,0.0,-0.353289493866,-0.383276696875,2.66895824329,-0.167953379313,0.0850096603378,0.0,459.88066622672324,459.64657304282485,461.59635048272304,460.72369527126995
1.1400000000000006,-0.129420759741,-0.130097049215,11.8144199773,6.18125779581,0.0787550658843,0.0,-0.397561416876,-0.43944160886,2.66817768715,-0.167901021763,0.112939627507,0.0,411.1355224601449,413.61108405786916,412.74673855459105,412.7219973141123
1.2000000000000006,-0.155229976183,-0.158989234293,11.9810874989,6.17108832302,0.0858499243958,0.0,-0.463537275818,-0.52477614086,2.88664122605,-0.172872905781,0.127167668821,0.0,480.9234032475368,482.0111238446313,482.3987223659042,481.99805317374796
1.2600000000000007,-0.184813109159,-0.192777510913,12.1567177027,6.16117578394,0.0934280284763,0.0,-0.523306033294,-0.602468008708,2.96726182689,-0.153143269207,0.124512968163,0.0,441.7012724791851,441.49692935900106,440.38228222878195,441.98461699237464
